id,booking,userId,user,vehicleId,city,type,amount,tax,platformFee,net,date,status,fraud,paymentMode,vehicleName,userName
TXN0001,BK0001,U447,Neha,999,Rishikesh,Car,13152,2367,1973,8812,2024-02-25,pending,False,Net Banking,Sonet,Neha
TXN0002,BK0002,U275,Priya,33,Nainital,Car,5148,927,772,3449,2024-01-04,refunded,False,UPI,Baleno,Priya
TXN0003,BK0003,U164,Pooja,819,Rishikesh,Car,2046,368,307,1371,2024-02-16,received,False,UPI,Sonet,Pooja
TXN0004,BK0004,U273,Sneha,276,Rishikesh,Car,5260,947,789,3524,2024-02-29,received,False,UPI,WagonR,Sneha
TXN0005,BK0005,U027,Priya,469,Dehradun,Bike,858,154,129,575,2024-02-05,received,True,Card,Hero Splendor Plus,Priya
TXN0006,BK0006,U291,Karan,47,Haridwar,Scooty,3420,616,513,2291,2024-02-29,pending,False,UPI,Honda Activa,Karan
TXN0007,BK0007,U251,Aditi,929,Dehradun,Scooty,1432,258,215,959,2024-03-16,received,False,Cash,Ather 450X,Aditi
TXN0008,BK0008,U342,Sneha,644,Rishikesh,Scooty,3360,605,504,2251,2024-01-01,received,False,Net Banking,TVS Jupiter,Sneha
TXN0009,BK0009,U033,Arjun,432,Auli,Car,3154,568,473,2113,2024-02-12,pending,False,Card,i10,Arjun
TXN0010,BK0010,U182,Karan,40,Rishikesh,Bike,4320,778,648,2894,2024-01-17,refunded,False,Card,Yamaha R15,Karan
TXN0011,BK0011,U154,Aditi,352,Dehradun,Bike,770,139,116,515,2024-03-25,received,False,Net Banking,KTM Duke 200,Aditi
TXN0012,BK0012,U160,Rahul,215,Mussoorie,Scooty,1803,325,270,1208,2024-01-30,received,False,Cash,TVS Ntorq,Rahul
TXN0013,BK0013,U306,Pooja,272,Rishikesh,Scooty,4508,811,676,3021,2024-03-28,received,False,Net Banking,Suzuki Access,Pooja
TXN0014,BK0014,U423,Sneha,230,Dehradun,Scooty,4067,732,610,2725,2024-03-03,received,False,UPI,Suzuki Access,Sneha
