id,userId,user,avatar,vehicle,vehicleId,type,ownerId,city,from,to,days,amount,status,doubleBook,createdAt
BK0001,U447,Neha,N,Sonet,999,Car,OWN0374,Rishikesh,2024-02-25,2024-03-02,6,13152,upcoming,False,2024-02-25
BK0002,U275,Priya,P,Baleno,33,Car,OWN0527,Nainital,2024-01-04,2024-01-07,3,5148,cancelled,False,2024-01-03
BK0003,U164,Pooja,P,Sonet,819,Car,OWN0933,Rishikesh,2024-02-16,2024-02-17,1,2046,cancelled,True,2024-01-12
BK0004,U273,Sneha,S,WagonR,276,Car,OWN0086,Rishikesh,2024-02-29,2024-03-04,4,5260,completed,False,2024-01-01
BK0005,U027,Priya,P,Hero Splendor Plus,469,Bike,OWN0145,Dehradun,2024-02-05,2024-02-07,2,858,completed,False,2024-01-13
BK0006,U291,Karan,K,Honda Activa,47,Scooty,OWN0802,Haridwar,2024-02-29,2024-03-06,6,3420,ongoing,False,2024-02-17
BK0007,U251,Aditi,A,Ather 450X,929,Scooty,OWN0096,Dehradun,2024-03-16,2024-03-18,2,1432,completed,False,2024-02-14
BK0008,U342,Sneha,S,TVS Jupiter,644,Scooty,OWN0758,Rishikesh,2024-01-01,2024-01-07,6,3360,completed,False,2024-01-01
BK0009,U033,Arjun,A,i10,432,Car,OWN0157,Auli,2024-02-12,2024-02-14,2,3154,upcoming,False,2024-01-08
BK0010,U182,Karan,K,Yamaha R15,40,Bike,OWN0167,Rishikesh,2024-01-17,2024-01-23,6,4320,cancelled,False,2024-01-01
BK0011,U154,Aditi,A,KTM Duke 200,352,Bike,OWN0933,Dehradun,2024-03-25,2024-03-26,1,770,completed,False,2024-01-13
BK0012,U160,Rahul,R,TVS Ntorq,215,Scooty,OWN0285,Mussoorie,2024-01-30,2024-02-02,3,1803,completed,False,2024-01-15
BK0013,U306,Pooja,P,Suzuki Access,272,Scooty,OWN0048,Rishikesh,2024-03-28,2024-04-04,7,4508,cancelled,False,2024-01-30
BK0014,U423,Sneha,S,Suzuki Access,230,Scooty,OWN0452,Dehradun,2024-03-03,2024-03-10,7,4067,upcoming,False,2024-02-18
BK0015,U170,Aman,A,Hero Splendor Plus,193,Bike,OWN0783,Dehradun,2024-04-02,2024-04-03,1,383,cancelled,False,2024-01-15
BK0016,U073,Aman,A,Honda Activa,245,Scooty,OWN0187,Dehradun,2024-02-15,2024-02-21,6,3864,upcoming,True,2024-01-11
BK0017,U206,Priya,P,Yamaha R15,367,Bike,OWN0271,Haridwar,2024-02-28,2024-03-01,2,1236,completed,False,2024-01-28
BK0018,U431,Neha,N,TVS Ntorq,692,Scooty,OWN0576,Auli,2024-01-24,2024-01-28,4,2540,cancelled,False,2024-01-23
BK0019,U027,Priya,P,i10,537,Car,OWN0148,Rishikesh,2024-03-04,2024-03-07,3,4458,completed,False,2024-02-14
BK0020,U179,Rohit,R,Maruti Alto,300,Car,OWN0611,Rishikesh,2024-01-11,2024-01-14,3,3513,completed,False,2024-01-07
BK0021,U021,Pooja,P,Ola S1,818,Scooty,OWN0841,Mussoorie,2024-03-21,2024-03-26,5,3195,completed,False,2024-02-11
BK0022,U049,Arjun,A,Maruti Alto,81,Car,OWN0562,Dehradun,2024-03-26,2024-03-30,4,4508,completed,False,2024-02-15
BK0023,U161,Karan,K,Baleno,774,Car,OWN0162,Mussoorie,2024-01-29,2024-02-04,6,10296,cancelled,False,2024-01-02
BK0024,U473,Pooja,P,RE Classic 350,784,Bike,OWN0493,Rishikesh,2024-01-18,2024-01-22,4,2912,upcoming,False,2024-01-04
BK0025,U213,Aditi,A,TVS Ntorq,467,Scooty,OWN0159,Rishikesh,2024-02-01,2024-02-03,2,1338,ongoing,False,2024-01-07
BK0026,U432,Priya,P,i10,144,Car,OWN0855,Rishikesh,2024-01-12,2024-01-19,7,10423,cancelled,False,2024-01-08
BK0027,U192,Rohit,R,i20,987,Car,OWN0201,Dehradun,2024-04-02,2024-04-06,4,6952,cancelled,False,2024-01-22
BK0028,U390,Aman,A,Bajaj Avenger 220,436,Bike,OWN0346,Mussoorie,2024-01-13,2024-01-16,3,1995,completed,False,2024-01-01
BK0029,U264,Sneha,S,Maruti Alto,264,Car,OWN0336,Haridwar,2024-01-16,2024-01-21,5,5255,upcoming,False,2024-01-15
BK0030,U201,Priya,P,Ather 450X,164,Scooty,OWN0679,Haridwar,2024-03-16,2024-03-17,1,725,upcoming,False,2024-02-24
BK0031,U293,Neha,N,i20,240,Car,OWN0463,Mussoorie,2024-03-18,2024-03-19,1,1793,ongoing,False,2024-01-31
BK0032,U473,Pooja,P,KTM Duke 200,634,Bike,OWN0518,Mussoorie,2024-02-13,2024-02-18,5,3875,completed,False,2024-02-01
BK0033,U482,Karan,K,RE Classic 350,61,Bike,OWN0304,Rishikesh,2024-02-12,2024-02-15,3,2091,completed,False,2024-02-09
BK0034,U421,Karan,K,Ather 450X,605,Scooty,OWN0764,Dehradun,2024-01-19,2024-01-24,5,3580,completed,False,2024-01-14
BK0035,U226,Neha,N,Baleno,234,Car,OWN0829,Haridwar,2024-01-13,2024-01-19,6,9474,completed,False,2024-01-04
BK0036,U144,Rohit,R,WagonR,801,Car,OWN0834,Rishikesh,2024-03-08,2024-03-10,2,2482,upcoming,False,2024-01-05
BK0037,U158,Rohit,R,Yamaha Fascino,515,Scooty,OWN0874,Rishikesh,2024-01-12,2024-01-15,3,1704,upcoming,False,2024-01-03
BK0038,U030,Sneha,S,TVS Ntorq,149,Scooty,OWN0931,Dehradun,2024-03-18,2024-03-21,3,1983,completed,False,2024-02-16
