id,code,type,discount,from,to,uses,maxUses,active,city,vehicleType,createdBy
PRO0001,GO300,Flat,300,2024-03-13,2024-03-23,459,500,True,Rishikesh,Scooty,Arjun Sharma
PRO0002,SUMMER20OFF,Percentage,20,2024-03-07,2024-04-06,389,100,True,All,All,Arjun Sharma
PRO0003,SUMMER250DEAL,Flat,250,2024-03-20,2024-04-13,187,500,False,Rishikesh,Bike,Arjun Sharma
PRO0004,FLAT15NOW,Percentage,15,2024-02-02,2024-02-15,173,200,True,Dehradun,Car,Priya Admin
PRO0005,BIKE500,Flat,500,2024-01-11,2024-01-20,294,500,False,All,Scooty,Arjun Sharma
PRO0006,SUMMER5DEAL,Percentage,5,2024-01-31,2024-02-20,222,500,True,All,Scooty,Arjun Sharma
PRO0007,SPEED300,Flat,300,2024-03-25,2024-04-18,189,100,True,Rishikesh,Bike,Priya Admin
PRO0008,MOUNTAIN30,Percentage,30,2024-01-09,2024-02-06,436,1000,True,Haridwar,All,Arjun Sharma
PRO0009,CAR500NOW,Flat,500,2024-01-25,2024-01-28,295,500,True,Mussoorie,All,Priya Admin
PRO0010,GO100,Flat,100,2024-03-10,2024-03-27,308,500,False,Rishikesh,Bike,Arjun Sharma
PRO0011,FLAT25OFF,Percentage,25,2024-02-06,2024-02-10,38,500,True,Rishikesh,All,Arjun Sharma
PRO0012,CAR25NOW,Percentage,25,2024-01-13,2024-01-20,27,500,False,Mussoorie,Scooty,Priya Admin
PRO0013,GO250DEAL,Flat,250,2024-03-11,2024-03-16,139,100,True,Dehradun,Scooty,Priya Admin
PRO0014,MOUNTAIN200NOW,Flat,200,2024-01-09,2024-01-31,328,100,False,Rishikesh,Scooty,Priya Admin
PRO0015,SPEED50OFF,Flat,50,2024-02-13,2024-02-28,115,100,False,All,All,Priya Admin
PRO0016,SAVE50DEAL,Flat,50,2024-03-15,2024-04-07,320,1000,False,Rishikesh,All,Arjun Sharma
PRO0017,SPEED15DEAL,Percentage,15,2024-01-07,2024-01-23,440,1000,True,Dehradun,Car,Arjun Sharma
PRO0018,GO250DEAL,Flat,250,2024-01-03,2024-02-01,329,500,False,Rishikesh,Scooty,Arjun Sharma
PRO0019,BIKE250,Flat,250,2024-03-30,2024-04-09,474,500,True,Rishikesh,Scooty,Arjun Sharma
PRO0020,MOUNTAIN30,Percentage,30,2024-01-25,2024-02-07,355,500,False,All,All,Arjun Sharma
PRO0021,SAVE10NOW,Percentage,10,2024-02-28,2024-03-15,36,500,True,Haridwar,Bike,Arjun Sharma
PRO0022,CAR5,Percentage,5,2024-01-10,2024-02-08,25,200,True,Rishikesh,Bike,Arjun Sharma
PRO0023,GO200,Flat,200,2024-01-25,2024-02-17,400,200,False,Auli,All,Arjun Sharma
PRO0024,RIDE15NOW,Percentage,15,2024-02-17,2024-02-25,273,100,True,Rishikesh,Bike,Arjun Sharma
PRO0025,FLAT150NOW,Flat,150,2024-03-22,2024-03-29,163,1000,False,All,Scooty,Priya Admin
PRO0026,GO30,Percentage,30,2024-03-25,2024-04-07,16,100,False,All,Car,Arjun Sharma
PRO0027,FLAT15,Percentage,15,2024-03-01,2024-03-30,467,100,False,Rishikesh,Car,Priya Admin
